caine.png        /imagine prompt: A cute dog, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
urs_panda.png    /imagine prompt: A cute panda bear, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
koala.png        /imagine prompt: A cute koala, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
veverita.png     /imagine prompt: A cute squirrel, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
arici.png        /imagine prompt: A cute hedgehog, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
cerb.png         /imagine prompt: A cute deer, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
delfin.png       /imagine prompt: A cute dolphin, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
balena.png       /imagine prompt: A cute whale, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
rechin.png       /imagine prompt: A cute shark, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
pinguin.png      /imagine prompt: A cute penguin, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
bufnita.png      /imagine prompt: A cute owl, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
vultur.png       /imagine prompt: A cute eagle, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
fluture.png      /imagine prompt: A cute butterfly, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
albina.png       /imagine prompt: A cute bee, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
buburuza.png     /imagine prompt: A cute ladybug, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
melc.png         /imagine prompt: A cute snail, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
mar.png          /imagine prompt: A cute red apple, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
banana.png       /imagine prompt: A cute banana, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
portocala.png    /imagine prompt: A cute orange fruit, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
capsuna.png      /imagine prompt: A cute strawberry, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
struguri.png     /imagine prompt: A cute bunch of grapes, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
para.png         /imagine prompt: A cute pear, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
lamaie.png       /imagine prompt: A cute lemon, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
cirese.png       /imagine prompt: A cute pair of cherries, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
pepene.png       /imagine prompt: A cute watermelon slice, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ananas.png       /imagine prompt: A cute pineapple, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
piersica.png     /imagine prompt: A cute peach, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
kiwi.png         /imagine prompt: A cute kiwi fruit, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
avocado.png      /imagine prompt: A cute avocado, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
nuca_de_cocos.png /imagine prompt: A cute coconut, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
zmeura.png       /imagine prompt: A cute raspberry, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
morcov.png       /imagine prompt: A cute carrot, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
rosie.png        /imagine prompt: A cute tomato, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
cartof.png       /imagine prompt: A cute potato, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
broccoli.png     /imagine prompt: A cute broccoli, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
castravete.png   /imagine prompt: A cute cucumber, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ardei.png        /imagine prompt: A cute red bell pepper, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ceapa.png        /imagine prompt: A cute onion, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
usturoi.png      /imagine prompt: A cute garlic, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
porumb.png       /imagine prompt: A cute corn on the cob, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
vanata.png       /imagine prompt: A cute eggplant, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ciuperca.png     /imagine prompt: A cute mushroom, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
salata.png       /imagine prompt: A cute lettuce, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
dovleac.png      /imagine prompt: A cute pumpkin, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
mazare.png       /imagine prompt: A cute pea pod, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ridiche.png      /imagine prompt: A cute radish, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
paine.png        /imagine prompt: A cute loaf of bread, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
lapte.png        /imagine prompt: A cute glass of milk, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
branza.png       /imagine prompt: A cute piece of cheese, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ou.png           /imagine prompt: A cute egg, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
pizza.png        /imagine prompt: A cute slice of pizza, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
hamburger.png    /imagine prompt: A cute hamburger, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
inghetata.png    /imagine prompt: A cute ice cream cone, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ciocolata.png    /imagine prompt: A cute bar of chocolate, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
prajitura.png    /imagine prompt: A cute slice of cake, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
fursec.png       /imagine prompt: A cute chocolate chip cookie, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
gogoasa.png      /imagine prompt: A cute donut, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
cartofi_prajiti.png /imagine prompt: A cute box of french fries, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
tort.png         /imagine prompt: A cute birthday cake, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
acadea.png       /imagine prompt: A cute lollipop, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
miere.png        /imagine prompt: A cute jar of honey, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
suc.png          /imagine prompt: A cute juice box, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
apa.png          /imagine prompt: A cute bottle of water, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
supa.png         /imagine prompt: A cute bowl of soup, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
friptura.png     /imagine prompt: A cute chicken drumstick, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
sandwich.png     /imagine prompt: A cute sandwich, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
masa.png         /imagine prompt: A cute wooden table, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
scaun.png        /imagine prompt: A cute wooden chair, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
pat.png          /imagine prompt: A cute bed with a pillow, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
canapea.png      /imagine prompt: A cute sofa, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
televizor.png    /imagine prompt: A cute television, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
lampa.png        /imagine prompt: A cute table lamp, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ceas.png         /imagine prompt: A cute wall clock, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
carte.png        /imagine prompt: A cute open book, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
telefon.png      /imagine prompt: A cute smartphone, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
cheie.png        /imagine prompt: A cute metal key, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
usa.png          /imagine prompt: A cute wooden door, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
fereastra.png    /imagine prompt: A cute window, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
farfurie.png     /imagine prompt: A cute plate, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
pahar.png        /imagine prompt: A cute drinking glass, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
furculita.png    /imagine prompt: A cute fork, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
lingura.png      /imagine prompt: A cute spoon, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
cutit.png        /imagine prompt: A cute kitchen knife, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
cana.png         /imagine prompt: A cute mug, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
dulap.png        /imagine prompt: A cute wardrobe, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
perna.png        /imagine prompt: A cute pillow, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
sapun.png        /imagine prompt: A cute bar of soap, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
periuta_de_dinti.png /imagine prompt: A cute toothbrush, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
prosop.png       /imagine prompt: A cute towel, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
cada.png         /imagine prompt: A cute bathtub, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
oglinda.png      /imagine prompt: A cute mirror, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ghiveci.png      /imagine prompt: A cute flower pot, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
foarfeca.png     /imagine prompt: A cute pair of scissors, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
calculator.png   /imagine prompt: A cute laptop computer, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
radio.png        /imagine prompt: A cute retro radio, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
cutie.png        /imagine prompt: A cute cardboard box, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
minge.png        /imagine prompt: A cute ball, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
cuburi.png       /imagine prompt: A cute stack of toy blocks, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
papusa.png       /imagine prompt: A cute doll, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ursulet_de_plus.png /imagine prompt: A cute teddy bear, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
masinuta.png     /imagine prompt: A cute toy car, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
trenulet.png     /imagine prompt: A cute toy train, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
zmeu.png         /imagine prompt: A cute kite, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
creion.png       /imagine prompt: A cute pencil, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
caiet.png        /imagine prompt: A cute notebook, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ghiozdan.png     /imagine prompt: A cute backpack, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
puzzle.png       /imagine prompt: A cute puzzle piece, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
trompeta.png     /imagine prompt: A cute toy trumpet, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
toba.png         /imagine prompt: A cute toy drum, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
avion_de_hartie.png /imagine prompt: A cute paper airplane, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
robot.png        /imagine prompt: A cute toy robot, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
leagan.png       /imagine prompt: A cute playground swing, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
tobogan.png      /imagine prompt: A cute playground slide, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
creta.png        /imagine prompt: A cute piece of chalk, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
pensula.png      /imagine prompt: A cute paintbrush, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
balon.png        /imagine prompt: A cute red balloon, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
soare.png        /imagine prompt: A cute smiling sun, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
luna.png         /imagine prompt: A cute crescent moon, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
stea.png         /imagine prompt: A cute yellow star, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
nor.png          /imagine prompt: A cute fluffy cloud, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ploaie.png       /imagine prompt: A cute cloud with raindrops, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
fulger.png       /imagine prompt: A cute lightning bolt, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
zapada.png       /imagine prompt: A cute snowflake, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
curcubeu.png     /imagine prompt: A cute rainbow, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
copac.png        /imagine prompt: A cute green tree, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
floare.png       /imagine prompt: A cute simple flower, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
iarba.png        /imagine prompt: A cute patch of grass, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
frunza.png       /imagine prompt: A cute green leaf, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
munte.png        /imagine prompt: A cute mountain with a snowy peak, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
val.png          /imagine prompt: A cute ocean wave, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
foc.png          /imagine prompt: A cute campfire, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
piatra.png       /imagine prompt: A cute grey stone, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
brad.png         /imagine prompt: A cute christmas tree, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
scoica.png       /imagine prompt: A cute seashell, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ghetar.png       /imagine prompt: A cute iceberg, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
vulcan.png       /imagine prompt: A cute cartoon volcano, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0```
tricou.png /imagine prompt: A cute t-shirt, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
pantaloni.png /imagine prompt: A cute pair of pants, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
rochie.png /imagine prompt: A cute dress, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
pantof.png /imagine prompt: A cute shoe, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
caciula.png /imagine prompt: A cute winter hat, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
fular.png /imagine prompt: A cute scarf, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
manusi.png /imagine prompt: A cute pair of gloves, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
sosete.png /imagine prompt: A cute pair of socks, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
palton.png /imagine prompt: A cute coat, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
palarie.png /imagine prompt: A cute hat, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ochelari.png /imagine prompt: A cute pair of glasses, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ceas_de_mana.png /imagine prompt: A cute wristwatch, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
fusta.png /imagine prompt: A cute skirt, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
cizme.png /imagine prompt: A cute pair of boots, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
camasa.png /imagine prompt: A cute shirt, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
masina.png /imagine prompt: A cute car, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
autobuz.png /imagine prompt: A cute bus, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
tren.png /imagine prompt: A cute train, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
avion.png /imagine prompt: A cute airplane, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
bicicleta.png /imagine prompt: A cute bicycle, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
barca.png /imagine prompt: A cute boat, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
vapor.png /imagine prompt: A cute ship, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
elicopter.png /imagine prompt: A cute helicopter, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
motocicleta.png /imagine prompt: A cute motorcycle, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
racheta.png /imagine prompt: A cute rocket ship, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
ambulanta.png /imagine prompt: A cute ambulance, WhatsApp sticker style, vector illustration, bold outlines, flat colors, on a solid white background --ar 1:1 --v 6.0
